"Source:","S:\cen\CPU\CPU6S\CPU6S.kicad_sch",,,,,
"Socket Count:","122",,,,,
"Refs","Qty",Socket type,,,,
"U_A1, U_A2, U_A3, U_A13, U_A14, U_A15, U_B7, U_B8, U_B11, U_B12, U_B15, U_D12, U_C7, U_C8, U_C10, U_D8, U_D10, U_E8, U_E10, U_E11, U_E12, U_E14, U_E15, U_F12, U_F14, U_H13, U_J6, U_K6, U_K10, U_K12, U_L6, U_L10, U_L14, U_M9, U_M10","35",DIP-14 Width 0.3in 7.62mm,,,,
"U_B1, U_B2, U_B3, U_B4, U_B5, U_B6, U_C1, U_C2, U_C3, U_C4, U_C5, U_C6, U_C14, U_C15, U_D2, U_D7, U_D3, U_D4, U_D5, U_D6, U_D9, U_D11, U_F6, U_E5, U_E6, U_E7, U_F11, U_F13, U_H6, U_H11, U_H12, U_H14, U_J9, U_J10, U_J11, U_J12, U_J13, U_K9, U_K11, U_K13, U_L11, U_L13, U_M12, U_M13","44",DIP-16 Width 0.3in 7.62mm,,,,
"U_A4, U_A5, U_A6, U_A7, U_A8, U_A9, U_A10, UA11, UA12, UB11, UB12, U_C9, U_C11, U_C13, U_D13, U_F5, U_H5, U_J5, U_K5, U_L5, U_L9, U_M5, U_M6, U_M7, U_M8, U_M14, U_M15","27",DIP-20 Width 0.3in 7.62mm,,,,
"U_B9, U_B10, U_D14, U_D15","4",DIP-22 Width 0.4in 10.16mm,,,,
"U_F7, U_F9","2",DIP-40 Width 0.6in 15.24mm,,,,
"U_J7, U_K7","2",DIP-28 Width 0.6in 15.24mm,,,,
"U_B13","1",DIP-24 Width 0.6in 15.24mm,,,,
"U_MWE2, U_MWF2, U_MWH2, U_MWJ2, U_MWK2, U_MWL2, U_MWM2","7","DIP-24 or DIP-28 Width 0.6in 15.24mm""",,,,
"Component Count:","223",,,,,
"Refs","Qty",Value,Cmp name,Description,Vendor,Footprint
